出表日期,年度,季別,公司代號,公司名稱,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,date
1150515,115,1,2855,統一證,5486108.00,3387527.00,2098581.00,417199.00,2515780.00,218397.00,2297383.00,,,2297383.00,109125.00,,2406508.00,2291390.00,,5993.00,2402477.00,,4031.00,1.43,2026-05-15
1150515,115,1,2855,統一證,5486108.00,3387527.00,2098581.00,417199.00,2515780.00,218397.00,2297383.00,,,2297383.00,109125.00,,2406508.00,2291390.00,,5993.00,2402477.00,,4031.00,1.43,2026-05-15
1150517,115,1,2855,統一證,5486108.00,3387527.00,2098581.00,417199.00,2515780.00,218397.00,2297383.00,,,2297383.00,109125.00,,2406508.00,2291390.00,,5993.00,2402477.00,,4031.00,1.43,2026-05-17
1150517,115,1,6005,群益證,7131080.00,4909620.00,2221460.00,1105083.00,3326543.00,224421.00,3102122.00,,,3102122.00,-414650.00,,2687472.00,2908675.00,,193447.00,2481189.00,,206283.00,1.34,2026-05-17
1150517,115,1,6024,群益期,683774.00,884139.00,-200365.00,728804.00,528439.00,90392.00,438047.00,,,438047.00,28709.00,,466756.00,441039.00,,-2992.00,469660.00,,-2904.00,1.76,2026-05-17
1150517,115,1,2855,統一證,5486108.00,3387527.00,2098581.00,417199.00,2515780.00,218397.00,2297383.00,,,2297383.00,109125.00,,2406508.00,2291390.00,,5993.00,2402477.00,,4031.00,1.43,2026-05-17
1150517,115,1,6005,群益證,7131080.00,4909620.00,2221460.00,1105083.00,3326543.00,224421.00,3102122.00,,,3102122.00,-414650.00,,2687472.00,2908675.00,,193447.00,2481189.00,,206283.00,1.34,2026-05-17
1150517,115,1,6024,群益期,683774.00,884139.00,-200365.00,728804.00,528439.00,90392.00,438047.00,,,438047.00,28709.00,,466756.00,441039.00,,-2992.00,469660.00,,-2904.00,1.76,2026-05-17
1150518,115,1,2855,統一證,5486108.00,3387527.00,2098581.00,417199.00,2515780.00,218397.00,2297383.00,,,2297383.00,109125.00,,2406508.00,2291390.00,,5993.00,2402477.00,,4031.00,1.43,2026-05-18
1150518,115,1,6005,群益證,7131080.00,4909620.00,2221460.00,1105083.00,3326543.00,224421.00,3102122.00,,,3102122.00,-414650.00,,2687472.00,2908675.00,,193447.00,2481189.00,,206283.00,1.34,2026-05-18
1150518,115,1,6024,群益期,683774.00,884139.00,-200365.00,728804.00,528439.00,90392.00,438047.00,,,438047.00,28709.00,,466756.00,441039.00,,-2992.00,469660.00,,-2904.00,1.76,2026-05-18
