出表日期,年度,季別,公司代號,公司名稱,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,date
1150515,115,1,1409,新纖,10013245.00,8915242.00,1098003.00,209690.00,888313.00,,888313.00,1023340.00,1911653.00,627489.00,,260824.00,1714449.00,,197204.00,0.39,2026-05-15
1150515,115,1,2207,和泰車,71331231.00,64795582.00,6535649.00,1278339.00,5257310.00,,5257310.00,-73880.00,5183430.00,4429572.00,,827738.00,4206094.00,,977336.00,7.95,2026-05-15
1150515,115,1,1409,新纖,10013245.00,8915242.00,1098003.00,209690.00,888313.00,,888313.00,1023340.00,1911653.00,627489.00,,260824.00,1714449.00,,197204.00,0.39,2026-05-15
1150515,115,1,2207,和泰車,71331231.00,64795582.00,6535649.00,1278339.00,5257310.00,,5257310.00,-73880.00,5183430.00,4429572.00,,827738.00,4206094.00,,977336.00,7.95,2026-05-15
1150517,115,1,1409,新纖,10013245.00,8915242.00,1098003.00,209690.00,888313.00,,888313.00,1023340.00,1911653.00,627489.00,,260824.00,1714449.00,,197204.00,0.39,2026-05-17
1150517,115,1,1718,中纖,11169810.00,8643523.00,2526287.00,475722.00,2050565.00,,2050565.00,-322234.00,1728331.00,228005.00,,1822560.00,302841.00,,1425490.00,0.17,2026-05-17
1150517,115,1,2207,和泰車,71331231.00,64795582.00,6535649.00,1278339.00,5257310.00,,5257310.00,-73880.00,5183430.00,4429572.00,,827738.00,4206094.00,,977336.00,7.95,2026-05-17
1150517,115,1,2905,三商,29552820.00,29620479.00,-67659.00,-68929.00,1270.00,,1270.00,15204710.00,15205980.00,32878.00,,-31608.00,5528510.00,,9677470.00,0.03,2026-05-17
1150517,115,1,1409,新纖,10013245.00,8915242.00,1098003.00,209690.00,888313.00,,888313.00,1023340.00,1911653.00,627489.00,,260824.00,1714449.00,,197204.00,0.39,2026-05-17
1150517,115,1,1718,中纖,11169810.00,8643523.00,2526287.00,475722.00,2050565.00,,2050565.00,-322234.00,1728331.00,228005.00,,1822560.00,302841.00,,1425490.00,0.17,2026-05-17
1150517,115,1,2207,和泰車,71331231.00,64795582.00,6535649.00,1278339.00,5257310.00,,5257310.00,-73880.00,5183430.00,4429572.00,,827738.00,4206094.00,,977336.00,7.95,2026-05-17
1150517,115,1,2905,三商,29552820.00,29620479.00,-67659.00,-68929.00,1270.00,,1270.00,15204710.00,15205980.00,32878.00,,-31608.00,5528510.00,,9677470.00,0.03,2026-05-17
1150518,115,1,1409,新纖,10013245.00,8915242.00,1098003.00,209690.00,888313.00,,888313.00,1023340.00,1911653.00,627489.00,,260824.00,1714449.00,,197204.00,0.39,2026-05-18
1150518,115,1,1718,中纖,11169810.00,8643523.00,2526287.00,475722.00,2050565.00,,2050565.00,-322234.00,1728331.00,228005.00,,1822560.00,302841.00,,1425490.00,0.17,2026-05-18
1150518,115,1,2207,和泰車,71331231.00,64795582.00,6535649.00,1278339.00,5257310.00,,5257310.00,-73880.00,5183430.00,4429572.00,,827738.00,4206094.00,,977336.00,7.95,2026-05-18
1150518,115,1,2905,三商,29552820.00,29620479.00,-67659.00,-68929.00,1270.00,,1270.00,15204710.00,15205980.00,32878.00,,-31608.00,5528510.00,,9677470.00,0.03,2026-05-18
