出表日期,年度,季別,公司代號,公司名稱,財測序號,涵蓋期間,當季經會計師查核或核閱數,截至當季經會計師查核或核閱數,當季稅前(綜合)損益預測數,截至當季稅前(綜合)損益預測數,date
1150514,115,1,2412,中華電,0,一、二、三、四,10031589,10031589.00,8991774~9010933,8991774~9010933,2026-05-15
1150514,115,1,2412,中華電,0,一、二、三、四,10031589,10031589.00,8991774~9010933,8991774~9010933,2026-05-15
1150516,115,1,2412,中華電,0,一、二、三、四,10031589,10031589.00,8991774~9010933,8991774~9010933,2026-05-17
1150516,115,1,2515,中工,0,一、二、三、四,391330,391330.00,161116,161116,2026-05-17
1150516,115,1,2515,中工,1,一、二、三、四,391330,391330.00,161116,161116,2026-05-17
1150516,115,1,2515,中工,2,一、二、三、四,391330,391330.00,161116,161116,2026-05-17
1150516,115,1,3036,文曄,0,一,11639726,11639726.00,-518528~6835303,-518528~6835303,2026-05-17
1150516,115,1,3702,大聯大,0,一,7993403,7993403.00,3664000~4249000,3664000~4249000,2026-05-17
1150516,115,1,2412,中華電,0,一、二、三、四,10031589,10031589.00,8991774~9010933,8991774~9010933,2026-05-17
1150516,115,1,2515,中工,0,一、二、三、四,391330,391330.00,161116,161116,2026-05-17
1150516,115,1,2515,中工,1,一、二、三、四,391330,391330.00,161116,161116,2026-05-17
1150516,115,1,2515,中工,2,一、二、三、四,391330,391330.00,161116,161116,2026-05-17
1150516,115,1,3036,文曄,0,一,11639726,11639726.00,-518528~6835303,-518528~6835303,2026-05-17
1150516,115,1,3702,大聯大,0,一,7993403,7993403.00,3664000~4249000,3664000~4249000,2026-05-17
1150517,115,1,2412,中華電,0,一、二、三、四,10031589,10031589.00,8991774~9010933,8991774~9010933,2026-05-18
1150517,115,1,2515,中工,0,一、二、三、四,391330,391330.00,161116,161116,2026-05-18
1150517,115,1,2515,中工,1,一、二、三、四,391330,391330.00,161116,161116,2026-05-18
1150517,115,1,2515,中工,2,一、二、三、四,391330,391330.00,161116,161116,2026-05-18
1150517,115,1,3036,文曄,0,一,11639726,11639726.00,-518528~6835303,-518528~6835303,2026-05-18
1150517,115,1,3702,大聯大,0,一,7993403,7993403.00,3664000~4249000,3664000~4249000,2026-05-18
