Code,Name,PeriodicCallAuctionTrading,date
1213,大飲,  ,2026-05-15
1538,正峰,  ,2026-05-15
2314,台揚,**,2026-05-15
2321,東訊,  ,2026-05-15
2380,虹光,**,2026-05-15
2911,麗嬰房,  ,2026-05-15
3018,隆銘綠能,**,2026-05-15
3593,力銘,  ,2026-05-15
4943,康控-KY,**,2026-05-15
6225,天瀚,  ,2026-05-15
6806,森崴能源,**,2026-05-15
8101,華冠,  ,2026-05-15
9110,越南控-DR,  ,2026-05-15
1213,大飲,  ,2026-05-15
1538,正峰,  ,2026-05-15
2314,台揚,**,2026-05-15
2321,東訊,  ,2026-05-15
2380,虹光,**,2026-05-15
2911,麗嬰房,  ,2026-05-15
3018,隆銘綠能,**,2026-05-15
3593,力銘,  ,2026-05-15
4943,康控-KY,**,2026-05-15
6225,天瀚,  ,2026-05-15
6806,森崴能源,**,2026-05-15
8101,華冠,  ,2026-05-15
9110,越南控-DR,  ,2026-05-15
1213,大飲,  ,2026-05-17
1538,正峰,  ,2026-05-17
2314,台揚,**,2026-05-17
2321,東訊,  ,2026-05-17
2380,虹光,**,2026-05-17
2911,麗嬰房,  ,2026-05-17
3018,隆銘綠能,**,2026-05-17
3593,力銘,  ,2026-05-17
4943,康控-KY,**,2026-05-17
6225,天瀚,  ,2026-05-17
6806,森崴能源,**,2026-05-17
8101,華冠,  ,2026-05-17
9110,越南控-DR,  ,2026-05-17
1213,大飲,  ,2026-05-17
1538,正峰,  ,2026-05-17
2314,台揚,**,2026-05-17
2321,東訊,  ,2026-05-17
2380,虹光,**,2026-05-17
2911,麗嬰房,  ,2026-05-17
3018,隆銘綠能,**,2026-05-17
3593,力銘,  ,2026-05-17
4943,康控-KY,**,2026-05-17
6225,天瀚,  ,2026-05-17
6806,森崴能源,**,2026-05-17
8101,華冠,  ,2026-05-17
9110,越南控-DR,  ,2026-05-17
1213,大飲,  ,2026-05-18
1538,正峰,  ,2026-05-18
2314,台揚,**,2026-05-18
2321,東訊,  ,2026-05-18
2380,虹光,**,2026-05-18
2911,麗嬰房,  ,2026-05-18
3018,隆銘綠能,**,2026-05-18
3593,力銘,  ,2026-05-18
4943,康控-KY,**,2026-05-18
6225,天瀚,  ,2026-05-18
6806,森崴能源,**,2026-05-18
8101,華冠,  ,2026-05-18
9110,越南控-DR,  ,2026-05-18
